% num_local_points | num_send_points | num_send_procs | num_recv_points | num_recv_procs 
  13759 	   37426 	   18 	   71162 	   30 
   4202 	   41761 	   10 	   78632 	   15 
   9237 	   37586 	    6 	   75203 	   16 
     83 	   48950 	    9 	   77664 	   30 
      0 	   45132 	    9 	   52310 	   21 
     67 	   54074 	   23 	   37650 	   25 
      0 	   47374 	   11 	   65331 	   20 
      0 	   52365 	   17 	   29957 	   12 
      0 	   47094 	   12 	   67544 	   20 
    358 	   48859 	   21 	   77272 	   11 
   7377 	   38179 	    8 	   74856 	   23 
   1561 	   47088 	   16 	   25858 	    9 
   1192 	   43945 	   12 	   65672 	   43 
      0 	   49093 	   16 	   81041 	   25 
      0 	   46960 	    8 	   70233 	   18 
      0 	   46805 	    8 	   70178 	   27 
      0 	   50496 	   15 	   77540 	   12 
     16 	   49164 	   19 	   86382 	   17 
      0 	   43820 	    9 	   87518 	   26 
     34 	   52418 	   32 	   83421 	   24 
    790 	   44959 	   13 	   70940 	   16 
   1223 	   45092 	   15 	   63645 	   16 
   1725 	   45011 	   18 	   60748 	   38 
      0 	   47714 	   22 	   82974 	   14 
      0 	   42397 	    9 	   83231 	   16 
      0 	   47748 	   14 	   77136 	   22 
      0 	   46171 	    9 	   55544 	   19 
      0 	   47802 	   15 	   64922 	   30 
      0 	   45804 	   14 	   74449 	   21 
      0 	   49541 	   25 	   71587 	   19 
      0 	   42282 	    9 	   71858 	   16 
      0 	   47871 	   16 	   67420 	   16 
      0 	   43380 	    6 	   92324 	   86 
      0 	   49425 	   18 	   78965 	   21 
      0 	   56859 	   36 	   82922 	   27 
      0 	   45707 	   14 	   83509 	   20 
      0 	   46324 	   11 	   87407 	   25 
      0 	   47793 	   14 	   79981 	   32 
      0 	   45015 	   12 	   64558 	   21 
      0 	   52038 	   18 	   74945 	   28 
      0 	   42738 	   11 	   69032 	   19 
      0 	   43297 	   13 	   67635 	   28 
      0 	   49301 	   14 	   62699 	   33 
      0 	   46112 	   17 	   79210 	   14 
      0 	   46372 	   13 	   77445 	   14 
      0 	   47795 	   15 	   82333 	   21 
      0 	   47209 	   15 	   46610 	   17 
      0 	   43575 	   14 	   62692 	   47 
      0 	   40826 	    8 	   76166 	   15 
      0 	   44326 	   11 	   72575 	   19 
      0 	   50180 	   20 	   67674 	   15 
      0 	   49249 	   66 	   72377 	   18 
      0 	   45067 	   14 	   78342 	   18 
   9419 	   37334 	   15 	   72773 	   58 
   7698 	   35886 	   14 	   71321 	   23 
     55 	   45711 	   14 	   83766 	   39 
      0 	   44525 	    9 	   71280 	   16 
      0 	   49500 	   16 	   80509 	   15 
      0 	   46274 	   18 	   80164 	   41 
      0 	   46349 	   15 	   77903 	   26 
     29 	   44894 	   23 	   64949 	   34 
      0 	   48022 	   22 	   70036 	   15 
      0 	   42842 	   17 	   78746 	   21 
      0 	   45166 	   16 	   40448 	   88 
      0 	   43497 	    6 	    7059 	   10 
      0 	   50827 	   22 	   13386 	    7 
      0 	   51847 	   33 	   13851 	    5 
      0 	   44765 	   13 	   22820 	   13 
      0 	   47908 	   15 	   11854 	   18 
      0 	   44500 	   14 	   12138 	    6 
      0 	   46135 	   11 	   25216 	   20 
      0 	   52145 	   20 	   32294 	    9 
      0 	   46363 	   11 	   57917 	   13 
      0 	   39872 	   11 	   39618 	   16 
      0 	   49115 	   42 	   22397 	   13 
      0 	   43104 	    9 	   11900 	    7 
      0 	   44477 	   14 	   21814 	   19 
