% num_local_points | num_send_points | num_send_procs | num_recv_points | num_recv_procs 
 800237 	  250797 	    7 	  248325 	    6 
 829636 	  211910 	    7 	  208442 	    6 
 865522 	  177249 	   13 	  170136 	   11 
 860496 	  170768 	   15 	  162540 	   15 
 769773 	  270811 	    9 	  346075 	   10 
 723428 	  328828 	   13 	  365253 	   14 
 710902 	  340964 	   14 	  369913 	   15 
 793343 	  247703 	   12 	  224668 	   13 
 722677 	  308207 	   13 	  296901 	   13 
 747163 	  292822 	   12 	  289020 	   12 
 757686 	  287149 	   13 	  261446 	   12 
 742031 	  290932 	   12 	  271492 	    9 
 688283 	  346144 	    8 	  331650 	   12 
 694681 	  343244 	   11 	  336827 	   11 
 661075 	  380720 	   11 	  365050 	   11 
 807914 	  233114 	   10 	  233624 	   10 
