% num_local_points | num_send_points | num_send_procs | num_recv_points | num_recv_procs 
1994363 	   86540 	   16 	   77084 	   16 
1989677 	  120743 	   19 	  108372 	   19 
1962140 	  128155 	   18 	  105244 	   18 
1959858 	   94059 	   12 	   57195 	   12 
1977717 	   96464 	   12 	   95274 	   12 
1981292 	  149261 	   19 	  157165 	   19 
2002544 	  111835 	   29 	  174232 	   29 
1983013 	   93405 	   21 	   91008 	   21 
1992588 	   87190 	   15 	   83561 	   13 
1988022 	  102865 	   22 	  108945 	   22 
1981842 	   78849 	   18 	   83488 	   16 
1958931 	  156763 	   25 	  119639 	   25 
1956904 	  122526 	   16 	  107933 	   16 
1980784 	   86747 	   16 	  122186 	   16 
1959788 	   92649 	   12 	   90648 	   12 
1938411 	  117387 	   15 	   96016 	   15 
1990968 	   92052 	   50 	  118971 	   50 
1988549 	   88676 	   15 	   81679 	   15 
1992287 	  126611 	   21 	  130414 	   21 
1978025 	   81757 	   18 	   84407 	   18 
1981274 	   73987 	   19 	   77125 	   17 
1974960 	  100865 	   25 	   87456 	   25 
1961459 	   68797 	   17 	   66990 	   17 
1960900 	   72547 	   35 	   79950 	   29 
1956981 	   83570 	   14 	   79940 	   13 
1952219 	   85176 	   16 	   87687 	   16 
1980339 	   70436 	   38 	   72456 	   40 
1974608 	   72709 	   27 	   79549 	   19 
1962377 	   75305 	   14 	   79475 	   15 
1955558 	   78074 	   32 	   63896 	   27 
1955058 	   68175 	   27 	   71982 	   21 
1948778 	  120997 	   63 	   87874 	   68 
1984928 	   78592 	   12 	   64642 	   12 
2007564 	   65970 	   15 	   67184 	   16 
1980058 	   84408 	   17 	   78143 	   18 
1973770 	   61672 	   16 	   55430 	   16 
1995085 	   73676 	   20 	   96978 	   22 
1979160 	   77319 	   24 	   73656 	   18 
1976249 	   92112 	   24 	   97503 	   22 
1978329 	   62229 	   13 	   66700 	   14 
1970643 	   83547 	   27 	   71960 	   28 
1997539 	   68208 	   23 	   85915 	   19 
1980299 	   70611 	   13 	   76588 	   13 
1958846 	   80733 	   15 	   66478 	   14 
1986453 	   68553 	   21 	   76418 	   24 
1977100 	   64166 	   13 	   67785 	   15 
1970972 	   77354 	   38 	   74417 	   26 
1954135 	   80681 	   34 	   90825 	   29 
1948767 	   75122 	   36 	   91074 	   32 
1956110 	   57523 	   13 	   73507 	   12 
1969785 	   68573 	   29 	  178838 	   33 
1964229 	  220959 	   44 	  126567 	   44 
1998039 	   84793 	   18 	   74869 	   18 
2010115 	   74190 	   17 	   99243 	   18 
1993822 	   59639 	   15 	   73063 	   15 
1976618 	   49621 	   11 	   54782 	   11 
1965995 	  123625 	   29 	   81575 	   34 
1972140 	   81514 	   12 	   73578 	   13 
1983608 	   73554 	   15 	  117307 	   15 
1966694 	   82755 	   24 	   88400 	   24 
1993057 	   52259 	   18 	   64743 	   18 
1982761 	   82714 	   22 	   59522 	   18 
1976035 	   72980 	   14 	   80670 	   12 
1981878 	   48491 	   11 	   48885 	   11 
1971507 	   79853 	   19 	   79516 	   22 
1969092 	   89188 	   41 	   82140 	   47 
1950228 	   74388 	   12 	   73102 	   12 
1928375 	   94622 	   16 	   83904 	   17 
1920532 	  102213 	   37 	   96385 	   43 
1899354 	  148516 	   19 	  110491 	   19 
1988795 	  102199 	   28 	  145553 	   28 
2003863 	   67164 	   29 	   68290 	   29 
1990181 	   86903 	   20 	   80063 	   22 
1984167 	   93678 	   16 	   92223 	   17 
1986869 	   90693 	   32 	  107601 	   34 
1970873 	   89674 	   13 	   85432 	   12 
1958711 	  119937 	   13 	  106763 	   12 
1959806 	  102308 	   14 	  119653 	   16 
1968182 	   81585 	   32 	   86250 	   33 
1961340 	  113828 	   25 	   93570 	   22 
1973165 	  102011 	   18 	  111535 	   15 
2000342 	  106987 	   44 	  142745 	   44 
1992910 	   72323 	   17 	   66248 	   18 
2010563 	   55072 	   13 	   73080 	   13 
1992592 	   68262 	   17 	   80619 	   17 
1989091 	   60532 	   12 	   82590 	   12 
1979663 	   94625 	   25 	   83672 	   21 
1970856 	  109505 	   26 	   93220 	   33 
1965069 	   92045 	   11 	   96814 	   11 
1952619 	   90448 	   14 	   91574 	   14 
1984900 	   67984 	   21 	   87840 	   21 
1976615 	   82786 	   23 	   65624 	   19 
1982892 	   47338 	   11 	   49814 	   11 
1981103 	  103766 	   24 	   94453 	   27 
1980533 	   69295 	   16 	   89649 	   16 
1975478 	   66625 	   16 	   69355 	   16 
1952482 	  102625 	   45 	   82394 	   51 
1927311 	  115507 	   18 	  105708 	   19 
1922915 	  110381 	   21 	  112249 	   21 
1948231 	   70174 	   12 	   73183 	   12 
1887794 	  159621 	   20 	  115994 	   20 
2035930 	  130789 	   39 	  178825 	   39 
1999626 	   64571 	   16 	   63707 	   20 
1988017 	   86509 	   20 	   81046 	   17 
1984228 	   93892 	   18 	   96300 	   14 
1974196 	   98785 	   34 	  108198 	   37 
1967696 	   99619 	   34 	   98847 	   38 
1975961 	   83216 	   18 	   77084 	   17 
1965645 	  117843 	   19 	  106621 	   19 
1962561 	  104523 	   13 	  120397 	   14 
1948876 	  133184 	   19 	  122264 	   20 
1980344 	   83355 	   14 	  100103 	   14 
2006520 	   79631 	   41 	   97153 	   45 
2010344 	   54166 	   16 	   62237 	   15 
1982080 	   89369 	   19 	   61735 	   20 
1982108 	  107295 	   37 	   97660 	   44 
1975565 	  100530 	   13 	  110360 	   13 
1954333 	  111200 	   18 	   94191 	   19 
1985143 	   94843 	   21 	  125283 	   19 
1989807 	   91031 	   13 	  118238 	   13 
