% tn | Cd_x | Cd_y | Cd_z
  0.03125000  40.63830000  -0.00145392  -0.00145392
  0.05605990  39.16695841  -0.00120310  -0.00120311
  0.07817070  36.08217115  -0.00082234  -0.00082234
  0.09960040  32.65326404  -0.00060705  -0.00060706
  0.12085600  29.41831129  -0.00054920  -0.00054921
  0.14217300  26.50287582  -0.00056493  -0.00056494
  0.16361400  23.89114795  -0.00057269  -0.00057270
  0.18516400  21.54477402  -0.00055413  -0.00055415
  0.20677800  19.43314535  -0.00051935  -0.00051937
  0.22847300  17.52819766  -0.00047977  -0.00047979
  0.25025800  15.80895753  -0.00044126  -0.00044129
  0.27212400  14.25825256  -0.00040557  -0.00040559
  0.29403700  12.86269398  -0.00037258  -0.00037260
  0.31601100  11.60641111  -0.00034191  -0.00034193
  0.33805100  10.47566608  -0.00031311  -0.00031314
  0.36015200   9.45867365  -0.00028611  -0.00028614
  0.38231600   8.54406209  -0.00026102  -0.00026105
  0.40453500   7.72186760  -0.00023778  -0.00023781
  0.42681600   6.98310329  -0.00021633  -0.00021636
  0.44914200   6.31993356  -0.00019655  -0.00019658
  0.47151700   5.72402639  -0.00017711  -0.00017714
  0.49394000   5.18939431  -0.00015993  -0.00015996
  0.51640800   4.70963316  -0.00014485  -0.00014488
  0.53892200   4.27919588  -0.00013110  -0.00013113
  0.56148100   3.89337178  -0.00011936  -0.00011939
  0.58408100   3.54719239  -0.00010799  -0.00010802
  0.60672500   3.23710081  -0.00009722  -0.00009725
  0.62941100   2.95889167  -0.00008719  -0.00008722
  0.65213500   2.70999832  -0.00007810  -0.00007813
  0.67489800   2.48681687  -0.00006983  -0.00006986
  0.69769900   2.28640881  -0.00006233  -0.00006235
  0.72053400   2.10769142  -0.00005555  -0.00005558
  0.74340400   1.94756320  -0.00004928  -0.00004931
  0.76630800   1.80390113  -0.00004355  -0.00004358
  0.78924600   1.67534606  -0.00003834  -0.00003836
  0.81221800   1.56039942  -0.00003360  -0.00003363
  0.83522500   1.45758376  -0.00002930  -0.00002933
  0.85826700   1.36551696  -0.00002542  -0.00002544
  0.88134200   1.28316703  -0.00002192  -0.00002194
  0.90445200   1.20959777  -0.00001874  -0.00001876
  0.92759400   1.14399659  -0.00001586  -0.00001588
  0.95076800   1.08542562  -0.00001323  -0.00001325
  0.97397500   1.03284259  -0.00001084  -0.00001086
  0.99721300   0.98556262  -0.00000867  -0.00000869
  1.02048000   0.94312375  -0.00000673  -0.00000674
  1.04378000   0.90534262  -0.00000500  -0.00000502
  1.06712000   0.87159341  -0.00000341  -0.00000342
  1.09048000   0.84132408  -0.00000195  -0.00000196
  1.11387000   0.81459232  -0.00000067  -0.00000068
  1.13729000   0.79018936   0.00000036   0.00000035
  1.16074000   0.76856672   0.00000147   0.00000146
  1.18422000   0.74986452   0.00000259   0.00000259
  1.20772000   0.73298162   0.00000343   0.00000342
  1.23125000   0.71820651   0.00000424   0.00000423
  1.25481000   0.70472307   0.00000498   0.00000497
  1.27838000   0.69266055   0.00000552   0.00000551
  1.30199000   0.68250891   0.00000600   0.00000600
  1.32561000   0.67354286   0.00000651   0.00000651
  1.34925000   0.66494976   0.00000698   0.00000698
  1.37292000   0.65686881   0.00000737   0.00000737
  1.39661000   0.65047580   0.00000766   0.00000766
  1.42031000   0.64510990   0.00000794   0.00000794
  1.44403000   0.63989238   0.00000728   0.00000728
  1.46777000   0.63560440   0.00000709   0.00000709
  1.49152000   0.63212639   0.00000771   0.00000771
  1.51528000   0.62838528   0.00000798   0.00000799
  1.53906000   0.62512730   0.00000832   0.00000833
  1.56284000   0.62284596   0.00000814   0.00000815
  1.58664000   0.62084519   0.00000826   0.00000828
  1.61044000   0.61891658   0.00000871   0.00000872
  1.63426000   0.61721378   0.00000890   0.00000891
  1.65808000   0.61596597   0.00000905   0.00000906
  1.68191000   0.61489809   0.00000915   0.00000917
  1.70574000   0.61415640   0.00000920   0.00000922
  1.72959000   0.61350699   0.00000923   0.00000925
